"","ID","RecordID","SiteID","counts.cleaned"
"2313","BB042014718_W7","BB042014718","BB04",1000
"2314","WHIF2014719_W7","WHIF2014719","WHIF",0
"2315","BB042014720_W7","BB042014720","BB04",700
"2316","BB722014720_W7","BB722014720","BB72",2000
"2317","ESQU2014719_W7","ESQU2014719","ESQU",9
"2318","ESQU2014720_W7","ESQU2014720","ESQU",3
"2319","DEEP2014721_W7","DEEP2014721","DEEP",0
"2320","EIDE2014719_W7","EIDE2014719","EIDE",0
"2321","NANO2014719_W7","NANO2014719","NANO",0
"2322","NANO2014720_W7","NANO2014720","NANO",0
"2323","PEDD2014719_W7","PEDD2014719","PEDD",0
"2324","PEDD2014720_W7","PEDD2014720","PEDD",0
"2325","MAPL2014719_W7","MAPL2014719","MAPL",0
"2326","MAPL2014720_W7","MAPL2014720","MAPL",0
"2327","ISVI2014719_W7","ISVI2014719","ISVI",0
"2328","FRCR2014719_W7","FRCR2014719","FRCR",4
"2329","FRCR2014720_W7","FRCR2014720","FRCR",20.3823529411765
"2330","SANM2014719_W7","SANM2014719","SANM",0
"2331","SANM2014720_W7","SANM2014720","SANM",1
"2332","WHIF2014816_W7","WHIF2014816","WHIF",1.42857142857143
"2333","WHIF2014817_W7","WHIF2014817","WHIF",2
"2334","EIDE2014815_W7","EIDE2014815","EIDE",0
"2335","EIDE2014817_W7","EIDE2014817","EIDE",0
"2336","FRCR2014816_W7","FRCR2014816","FRCR",3.2
"2337","SJEN2014816_W7","SJEN2014816","SJEN",150
"2338","FRCR2014817_W7","FRCR2014817","FRCR",3.42857142857143
"2339","SJEN2014817_W7","SJEN2014817","SJEN",100
"2340","BB922014816_W7","BB922014816","BB92",8
"2341","NANO2014815_W7","NANO2014815","NANO",0
"2342","NANO2014816_W7","NANO2014816","NANO",0
"2343","NANO2014817_W7","NANO2014817","NANO",0
"2344","ENBO2014817_W7","ENBO2014817","ENBO",0
"2345","SJEN2014815_W7","SJEN2014815","SJEN",0
"2346","COWC2014817_W7","COWC2014817","COWC",240
"2347","ESQU2014816_W7","ESQU2014816","ESQU",15
"2348","ESQU2014817_W7","ESQU2014817","ESQU",11
"2349","ISVI2014720_W7","ISVI2014720","ISVI",0
"2350","ISVI2014721_W7","ISVI2014721","ISVI",0
"2351","ISVI2014816_W7","ISVI2014816","ISVI",0
"2352","ISVI2014817_W7","ISVI2014817","ISVI",4
"2353","COWC2014818_W7","COWC2014818","COWC",0
"2354","DEEP2014718_W7","DEEP2014718","DEEP",0
"2355","DEEP2014719_W7","DEEP2014719","DEEP",0
"2356","DEEP2014818_W7","DEEP2014818","DEEP",0
"2357","BB722014816_W7","BB722014816","BB72",1000
"2358","BB722014817_W7","BB722014817","BB72",0
"2359","PEDD2014816_W7","PEDD2014816","PEDD",0
"2360","PEDD2014817_W7","PEDD2014817","PEDD",0.333333333333333
"2361","CHEM2014815_W7","CHEM2014815","CHEM",284
"2362","CHEM2014818_W7","CHEM2014818","CHEM",195
"2363","BB042014815_W7","BB042014815","BB04",0
"2364","BB042014816_W7","BB042014816","BB04",275
"2365","BB042014817_W7","BB042014817","BB04",0
"2366","DEEP2014816_W7","DEEP2014816","DEEP",20
"2367","DEEP2014817_W7","DEEP2014817","DEEP",0
"2368","MAPL2014816_W7","MAPL2014816","MAPL",0
"2369","MAPL2014817_W7","MAPL2014817","MAPL",0
"2370","COBE2014719_W7","COBE2014719","COBE",0
"2371","COBE2014720_W7","COBE2014720","COBE",0
"2372","COBE2014721_W7","COBE2014721","COBE",0
"2373","COBE2014816_W7","COBE2014816","COBE",0
"2374","COBE2014817_W7","COBE2014817","COBE",0
"2375","COBE2014818_W7","COBE2014818","COBE",0
"2376","WITT2014719_W7","WITT2014719","WITT",1.13953488372093
"2377","WITT2014720_W7","WITT2014720","WITT",46.75
"2378","WITT2014816_W7","WITT2014816","WITT",9.5
"2379","WITT2014817_W7","WITT2014817","WITT",0.112903225806452
"2380","RBBP2014815_W7","RBBP2014815","RBBP",79.5580110497238
"2381","RBBP2014816_W7","RBBP2014816","RBBP",288.705583756345
"2382","SANM2014816_W7","SANM2014816","SANM",0
"2383","SANM2014817_W7","SANM2014817","SANM",0
